timestamp,granule,orbit,scene,LST_kelvin,LST_celsius,lon,lat
20250601T191033,ECOv002_L2T_LSTE_39145_005_11SLT_20250601T191033_0713_01,39145,5,,,-118.2437,34.0522
20250602T182218,ECOv002_L2T_LSTE_39160_004_11SLT_20250602T182218_0713_01,39160,4,315.9,42.75,-118.2437,34.0522
20250604T014227,ECOv002_L2T_LSTE_39181_015_11SLT_20250604T014227_0713_01,39181,15,289.0,15.85,-118.2437,34.0522
20250605T173349,ECOv002_L2T_LSTE_39207_005_11SLT_20250605T173349_0713_01,39207,5,,,-118.2437,34.0522
20250606T164524,ECOv002_L2T_LSTE_39222_005_11SLT_20250606T164524_0713_01,39222,5,,,-118.2437,34.0522
20250608T000521,ECOv002_L2T_LSTE_39242_003_11SLT_20250608T000521_0713_01,39242,3,302.78,29.63,-118.2437,34.0522
20250609T155643,ECOv002_L2T_LSTE_39268_004_11SLT_20250609T155643_0713_01,39268,4,285.46,12.31,-118.2437,34.0522
20250611T222800,ECOv002_L2T_LSTE_39304_014_11SLT_20250611T222800_0713_01,39304,14,306.94,33.79,-118.2437,34.0522
20250613T141931,ECOv002_L2T_LSTE_39330_004_11SLT_20250613T141931_0713_01,39330,4,286.04,12.89,-118.2437,34.0522
20250614T213941,ECOv002_L2T_LSTE_39350_016_11SLT_20250614T213941_0713_01,39350,16,,,-118.2437,34.0522
20250617T124202,ECOv002_L2T_LSTE_39392_004_11SLT_20250617T124202_0713_01,39392,4,291.1,17.95,-118.2437,34.0522
20250618T200109,ECOv002_L2T_LSTE_39412_016_11SLT_20250618T200109_0713_01,39412,16,,,-118.2437,34.0522
20250618T200201,ECOv002_L2T_LSTE_39412_017_11SLT_20250618T200201_0713_01,39412,17,322.48,49.33,-118.2437,34.0522
20250619T191257,ECOv002_L2T_LSTE_39427_013_11SLT_20250619T191257_0713_01,39427,13,,,-118.2437,34.0522
20250621T110431,ECOv002_L2T_LSTE_39453_004_11SLT_20250621T110431_0713_01,39453,4,283.22,10.07,-118.2437,34.0522
20250625T092647,ECOv002_L2T_LSTE_39515_004_11SLT_20250625T092647_0713_01,39515,4,290.64,17.49,-118.2437,34.0522
20250626T164638,ECOv002_L2T_LSTE_39535_013_11SLT_20250626T164638_0713_01,39535,13,302.7,29.55,-118.2437,34.0522
20250628T083743,ECOv002_L2T_LSTE_39561_003_11SLT_20250628T083743_0713_01,39561,3,,,-118.2437,34.0522
20250629T074911,ECOv002_L2T_LSTE_39576_004_11SLT_20250629T074911_0713_01,39576,4,293.4,20.25,-118.2437,34.0522
